FIT_log_likelihood,absolute_error_Delta,absolute_error_G,absolute_error_Omega,absolute_error_R,baseline_guard_hit_count,baseline_guard_hits,converged,delta_LS_ar1,delta_LS_narrative,delta_LS_persistence,error,fitted_Delta,fitted_G,fitted_Omega,fitted_R,fitted_local_regime,holdout_LS_RCWE,holdout_MAE_RCWE,optimizer_agreement,optimizer_reported_successful_starts,regime_recovered,scenario,seed,stationary_starts,successful_starts,top_two_log_likelihood_gap,truth_Delta,truth_G,truth_Omega,truth_R,truth_regime
-16.392988160718485,0.0005506364887215565,0.1889226684190708,0.8233434835746039,0.012080264160636331,0,,True,-1.743470053698183,2.8835881878172316,1.5209987043962965,,0.5005506364887216,0.9889226684190708,8.823343483574604,0.11208026416063634,stable,-7.755920121794084,0.045070737460419494,True,3,True,strong_stable,260901,3,3,6.039613253960852e-14,0.5,0.8,8.0,0.1,stable
-32.83190231898611,0.012098706423536665,0.06915629254737887,0.6497046065632972,0.000569478050472208,0,,True,-0.23211044517149482,2.3978510828137747,1.7607795903603236,,0.48790129357646334,0.7308437074526212,7.350295393436703,0.0994305219495278,stable,-11.268495091019004,0.05555670226868916,True,3,True,strong_stable,260902,2,2,1.7763568394002505e-13,0.5,0.8,8.0,0.1,stable
-14.00451645846909,0.010283547204177013,0.004749930295956828,0.48809333972480395,0.005190730345803668,0,,True,-6.692282695902147,-7.499542314584456,-9.650360998378439,,0.510283547204177,0.8047499302959569,8.488093339724804,0.09480926965419634,stable,-24.577596804676826,0.07740208431936231,True,3,True,strong_stable,260903,2,2,3.197442310920451e-14,0.5,0.8,8.0,0.1,stable
-32.21806469634111,0.008071901611233279,0.059578482789200304,0.04609227742982647,0.0068317952554946965,0,,True,0.20365614946845056,0.24367247491246502,2.4382530237649913,,0.5080719016112333,0.8595784827892003,8.046092277429826,0.1068317952554947,stable,-11.044975493948685,0.05023505026503681,True,2,True,strong_stable,260904,2,2,1.4210854715202004e-14,0.5,0.8,8.0,0.1,stable
-28.735943195681706,0.0008622595666102906,0.02634214857198658,0.324764250507557,0.0007992297147582372,0,,True,0.7389566099188896,1.0536925118200182,5.142007882354078,,0.4991377404333897,0.7736578514280135,7.675235749492443,0.10079922971475824,stable,-7.915364244498593,0.02628797128330542,True,3,True,strong_stable,260905,3,3,9.947598300641403e-14,0.5,0.8,8.0,0.1,stable
-26.706429532615438,0.006475640937433691,0.7994347901969429,2.347901969427884,0.0999,0,,True,-0.06480275243203604,6.489384148986057,3.096803600368018,,0.5064756409374337,0.0005652098030572121,5.652098030572116,0.00010000000000000009,stable,-7.6169782307760965,0.03018258543618288,True,4,True,strong_stable,260906,3,3,1.3145040611561853e-13,0.5,0.8,8.0,0.1,stable
-32.85255852481956,0.010891223010335793,0.1608535922998393,0.7236020810850388,0.010144133509162614,0,,True,2.006213509582091,1.666068330025281,5.947541156188004,,0.4891087769896642,0.9608535922998394,8.723602081085039,0.11014413350916262,stable,-9.465372262931394,0.05118273994931759,True,3,True,strong_stable,260907,3,3,7.105427357601002e-15,0.5,0.8,8.0,0.1,stable
-28.758961097139164,0.005500733165324956,0.18779453730515305,0.9196129355544684,0.010744103409207964,0,,True,-4.23034782752797,-0.4093621252118904,-2.0573415669012665,,0.49449926683467504,0.9877945373051531,8.919612935554468,0.11074410340920797,stable,-15.209721571408926,0.06943861698162893,True,3,True,strong_stable,260908,2,2,5.400124791776761e-13,0.5,0.8,8.0,0.1,stable
-24.03419508798254,0.005167103245038662,0.14970034731455106,0.5865292920149603,0.010603518024182898,0,,True,0.3467143750903503,10.770726382619277,2.2788337329901296,,0.49483289675496134,0.9497003473145511,8.58652929201496,0.1106035180241829,stable,-9.871811102497848,0.04522632831244387,True,3,True,strong_stable,260909,3,3,3.552713678800501e-14,0.5,0.8,8.0,0.1,stable
-33.54430483922089,0.004611617578367311,0.0718362033564881,0.09530957828961384,0.0076964623681125,0,,True,1.3551875017980155,3.926136132266169,3.8691227724113197,,0.4953883824216327,0.8718362033564881,8.095309578289614,0.1076964623681125,stable,-10.158983785193628,0.043440351009567404,True,3,True,strong_stable,260910,2,2,2.2524204723595176e-12,0.5,0.8,8.0,0.1,stable
